survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs
HIES 2024-25,National,Pakistan (survey domain),NA,NA,Demographics,Population (extrapolated),persons,pct,240649603,240649603,100,184564
HIES 2024-25,National,Pakistan (survey domain),NA,NA,Demographics,Households (extrapolated),households,pct,38682182,38682182,100,29084
HIES 2024-25,National,Pakistan (survey domain),NA,NA,Demographics,Female population share,% of population,pct,240649603,120993163,50.28,184564
HIES 2024-25,National,Pakistan (survey domain),NA,NA,Demographics,Population under 15 years,% of population,pct,240649603,91233076,37.91,184564
HIES 2024-25,National,Pakistan (survey domain),NA,NA,Demographics,Population 65 years and above,% of population,pct,240649603,10234766,4.25,184564
HIES 2024-25,Province,Balochistan,NA,NA,Demographics,Population (extrapolated),persons,pct,14778039,14778039,100,19812
HIES 2024-25,Province,Islamabad ICT,NA,NA,Demographics,Population (extrapolated),persons,pct,2334560,2334560,100,1296
HIES 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Population (extrapolated),persons,pct,40664013,40664013,100,38066
HIES 2024-25,Province,Punjab,NA,NA,Demographics,Population (extrapolated),persons,pct,127354178,127354178,100,77287
HIES 2024-25,Province,Sindh,NA,NA,Demographics,Population (extrapolated),persons,pct,55518813,55518813,100,48103
HIES 2024-25,Province,Balochistan,NA,NA,Demographics,Households (extrapolated),households,pct,2076237,2076237,100,2697
HIES 2024-25,Province,Islamabad ICT,NA,NA,Demographics,Households (extrapolated),households,pct,372137,372137,100,206
HIES 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Households (extrapolated),households,pct,5501761,5501761,100,5232
HIES 2024-25,Province,Punjab,NA,NA,Demographics,Households (extrapolated),households,pct,21170912,21170912,100,12759
HIES 2024-25,Province,Sindh,NA,NA,Demographics,Households (extrapolated),households,pct,9561135,9561135,100,8190
HIES 2024-25,Province,Balochistan,NA,NA,Demographics,Female population share,% of population,pct,14778039,7088048,47.96,19812
HIES 2024-25,Province,Islamabad ICT,NA,NA,Demographics,Female population share,% of population,pct,2334560,1119178,47.94,1296
HIES 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Female population share,% of population,pct,40664013,21156173,52.03,38066
HIES 2024-25,Province,Punjab,NA,NA,Demographics,Female population share,% of population,pct,127354178,64478626,50.63,77287
HIES 2024-25,Province,Sindh,NA,NA,Demographics,Female population share,% of population,pct,55518813,27151140,48.9,48103
HIES 2024-25,Province,Balochistan,NA,NA,Demographics,Population under 15 years,% of population,pct,14778039,6415043,43.41,19812
HIES 2024-25,Province,Islamabad ICT,NA,NA,Demographics,Population under 15 years,% of population,pct,2334560,830654,35.58,1296
HIES 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Population under 15 years,% of population,pct,40664013,17168391,42.22,38066
HIES 2024-25,Province,Punjab,NA,NA,Demographics,Population under 15 years,% of population,pct,127354178,45596670,35.8,77287
HIES 2024-25,Province,Sindh,NA,NA,Demographics,Population under 15 years,% of population,pct,55518813,21222319,38.23,48103
HIES 2024-25,Province,Balochistan,NA,NA,Demographics,Population 65 years and above,% of population,pct,14778039,402407,2.72,19812
HIES 2024-25,Province,Islamabad ICT,NA,NA,Demographics,Population 65 years and above,% of population,pct,2334560,81775,3.5,1296
HIES 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Population 65 years and above,% of population,pct,40664013,1607766,3.95,38066
HIES 2024-25,Province,Punjab,NA,NA,Demographics,Population 65 years and above,% of population,pct,127354178,6086019,4.78,77287
HIES 2024-25,Province,Sindh,NA,NA,Demographics,Population 65 years and above,% of population,pct,55518813,2056800,3.7,48103
HIES 2024-25,Division,Balochistan,Kalat,NA,Demographics,Population (extrapolated),persons,pct,2431493,2431493,100,2450
HIES 2024-25,Division,Balochistan,Loralai,NA,Demographics,Population (extrapolated),persons,pct,891947,891947,100,1564
HIES 2024-25,Division,Balochistan,Mekran,NA,Demographics,Population (extrapolated),persons,pct,2496912,2496912,100,642
HIES 2024-25,Division,Balochistan,Nasirabad,NA,Demographics,Population (extrapolated),persons,pct,1944847,1944847,100,3187
HIES 2024-25,Division,Balochistan,Quetta,NA,Demographics,Population (extrapolated),persons,pct,3982920,3982920,100,7052
HIES 2024-25,Division,Balochistan,Rakhshan,NA,Demographics,Population (extrapolated),persons,pct,917669,917669,100,1203
HIES 2024-25,Division,Balochistan,Sibi,NA,Demographics,Population (extrapolated),persons,pct,1147591,1147591,100,2016
HIES 2024-25,Division,Balochistan,Zhob,NA,Demographics,Population (extrapolated),persons,pct,964659,964659,100,1698
HIES 2024-25,Division,Islamabad ICT,Islamabad,NA,Demographics,Population (extrapolated),persons,pct,2334560,2334560,100,1296
HIES 2024-25,Division,Khyber Pakhtunkhwa,Bannu,NA,Demographics,Population (extrapolated),persons,pct,2375771,2375771,100,1830
