survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Demographics,Population (extrapolated),persons,pct,250537803,250537803,100,325445
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Labour Force,Labour force participation rate (10+),% of population 10+,pct,179614553,80901073,45.04,230785
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Labour Force,Female labour force participation rate (10+),% of women 10+,pct,87609502,19608932,22.38,111977
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Labour Force,Male labour force participation rate (10+),% of men 10+,pct,92005051,61292141,66.62,118808
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Labour Force,Employment-to-population ratio (10+),% of population 10+,pct,179614553,75131726,41.83,230785
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Labour Force,Unemployment rate,% of labour force,pct,80901073,5769347,7.13,104499
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Labour Force,Youth unemployment rate (15-24),% of youth labour force,pct,19038105,2572983,13.51,24749
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Employment Structure,Employment in agriculture,% of employed,pct,75131726,25354095,33.75,97249
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Employment Structure,Employment in industry (mining/manufacturing/utilities/construction),% of employed,pct,75131726,18880745,25.13,97249
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Employment Structure,Employment in services,% of employed,pct,75131726,29835640,39.71,97249
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Employment Structure,Paid employees,% of employed,pct,75131726,33576732,44.69,97249
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Employment Structure,Own-account (independent) workers,% of employed,pct,75131726,27287045,36.32,97249
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Employment Structure,Employers,% of employed,pct,75131726,1032450,1.37,97249
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Employment Structure,Contributing family workers / dependent contractors,% of employed,pct,75131726,12174253,16.2,97249
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Working Conditions,"Time-related underemployment (<35 hrs, wants more work)",% of employed,pct,75131726,2566354,3.42,97249
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Working Conditions,Average actual weekly working hours,hours/week,mean,74070481,NA,46.79,95910
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Working Conditions,Average monthly wage of paid employees,PKR/month,mean,19696773,NA,48238.53,24417
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Working Conditions,Paid employees with paid annual leave,% of employees,pct,33576732,7853906,23.39,42576
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Working Conditions,Paid employees with paid sick leave,% of employees,pct,33576732,9926263,29.56,42576
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Working Conditions,Paid employees with old-age pension coverage,% of employees,pct,33576732,4636495,13.81,42576
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Working Conditions,Occupational injury in past 12 months,% of employed,pct,75131726,2046786,2.72,97249
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,179614553,114975158,64.01,230785
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Education,Matric or higher education (15+),% of population 15+,pct,150784255,49278770,32.68,192726
LFS 2024-25,National,Pakistan (survey domain),NA,NA,Education,Ever received technical/vocational training (10+),% of population 10+,pct,179614553,19780471,11.01,230785
LFS 2024-25,Province,Balochistan,NA,NA,Demographics,Population (extrapolated),persons,pct,14283163,14283163,100,41561
LFS 2024-25,Province,Islamabad ICT,NA,NA,Demographics,Population (extrapolated),persons,pct,2375181,2375181,100,2801
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Population (extrapolated),persons,pct,42716544,42716544,100,63937
LFS 2024-25,Province,Punjab,NA,NA,Demographics,Population (extrapolated),persons,pct,132662344,132662344,100,137949
LFS 2024-25,Province,Sindh,NA,NA,Demographics,Population (extrapolated),persons,pct,58500572,58500572,100,79197
LFS 2024-25,Province,Balochistan,NA,NA,Labour Force,Labour force participation rate (10+),% of population 10+,pct,9552435,3870309,40.52,27563
LFS 2024-25,Province,Islamabad ICT,NA,NA,Labour Force,Labour force participation rate (10+),% of population 10+,pct,1701052,764269,44.93,2005
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Labour Force,Labour force participation rate (10+),% of population 10+,pct,30314237,12197140,40.24,45498
LFS 2024-25,Province,Punjab,NA,NA,Labour Force,Labour force participation rate (10+),% of population 10+,pct,96616778,46128313,47.74,100108
LFS 2024-25,Province,Sindh,NA,NA,Labour Force,Labour force participation rate (10+),% of population 10+,pct,41430051,17941042,43.3,55611
LFS 2024-25,Province,Balochistan,NA,NA,Labour Force,Female labour force participation rate (10+),% of women 10+,pct,4332255,545507,12.59,12519
LFS 2024-25,Province,Islamabad ICT,NA,NA,Labour Force,Female labour force participation rate (10+),% of women 10+,pct,824390,205761,24.96,972
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Labour Force,Female labour force participation rate (10+),% of women 10+,pct,14824366,2488593,16.79,22197
LFS 2024-25,Province,Punjab,NA,NA,Labour Force,Female labour force participation rate (10+),% of women 10+,pct,47797858,13244151,27.71,49686
LFS 2024-25,Province,Sindh,NA,NA,Labour Force,Female labour force participation rate (10+),% of women 10+,pct,19830632,3124920,15.76,26603
LFS 2024-25,Province,Balochistan,NA,NA,Labour Force,Male labour force participation rate (10+),% of men 10+,pct,5220180,3324803,63.69,15044
LFS 2024-25,Province,Islamabad ICT,NA,NA,Labour Force,Male labour force participation rate (10+),% of men 10+,pct,876661,558509,63.71,1033
LFS 2024-25,Province,Khyber Pakhtunkhwa,NA,NA,Labour Force,Male labour force participation rate (10+),% of men 10+,pct,15489871,9708547,62.68,23301
LFS 2024-25,Province,Punjab,NA,NA,Labour Force,Male labour force participation rate (10+),% of men 10+,pct,48818920,32884161,67.36,50422
LFS 2024-25,Province,Sindh,NA,NA,Labour Force,Male labour force participation rate (10+),% of men 10+,pct,21599419,14816121,68.6,29008
LFS 2024-25,Province,Balochistan,NA,NA,Labour Force,Employment-to-population ratio (10+),% of population 10+,pct,9552435,3654703,38.26,27563
LFS 2024-25,Province,Islamabad ICT,NA,NA,Labour Force,Employment-to-population ratio (10+),% of population 10+,pct,1701052,666912,39.21,2005
