survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs
PDS 2020,National,Pakistan (survey domain),NA,NA,Demographics,Population (extrapolated),persons,pct,220579436,220579436,100,225900
PDS 2020,National,Pakistan (survey domain),NA,NA,Demographics,Households (extrapolated),households,pct,37113254,37113254,100,37694
PDS 2020,National,Pakistan (survey domain),NA,NA,Demographics,Average household size,persons,mean,37113254,NA,5.94,37694
PDS 2020,National,Pakistan (survey domain),NA,NA,Demographics,Female population share,% of population,pct,220579436,108794681,49.32,225900
PDS 2020,National,Pakistan (survey domain),NA,NA,Demographics,Sex ratio (males per 100 females),males per 100 females,ratio,108794681,111784755,102.75,111413
PDS 2020,National,Pakistan (survey domain),NA,NA,Demographics,Population under 15 years,% of population,pct,220579436,83716099,37.95,225900
PDS 2020,National,Pakistan (survey domain),NA,NA,Demographics,Population 65 years and above,% of population,pct,220579436,9332233,4.23,225900
PDS 2020,National,Pakistan (survey domain),NA,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,127531104,93048332,72.96,130265
PDS 2020,National,Pakistan (survey domain),NA,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,163801383,95141611,58.08,167534
PDS 2020,National,Pakistan (survey domain),NA,NA,Education,Ever attended school (10+),% of population 10+,pct,163801383,101710688,62.09,167534
PDS 2020,National,Pakistan (survey domain),NA,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,53035882,35525829,66.98,54119
PDS 2020,Province,Balochistan,NA,NA,Demographics,Population (extrapolated),persons,pct,13097587,13097587,100,23040
PDS 2020,Province,Islamabad ICT,NA,NA,Demographics,Population (extrapolated),persons,pct,1880946,1880946,100,1857
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Population (extrapolated),persons,pct,36948897,36948897,100,44843
PDS 2020,Province,Punjab,NA,NA,Demographics,Population (extrapolated),persons,pct,116555648,116555648,100,108346
PDS 2020,Province,Sindh,NA,NA,Demographics,Population (extrapolated),persons,pct,52096358,52096358,100,47814
PDS 2020,Province,Balochistan,NA,NA,Demographics,Households (extrapolated),households,pct,1974248,1974248,100,3501
PDS 2020,Province,Islamabad ICT,NA,NA,Demographics,Households (extrapolated),households,pct,354442,354442,100,342
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Households (extrapolated),households,pct,5552198,5552198,100,6746
PDS 2020,Province,Punjab,NA,NA,Demographics,Households (extrapolated),households,pct,20130409,20130409,100,18683
PDS 2020,Province,Sindh,NA,NA,Demographics,Households (extrapolated),households,pct,9101957,9101957,100,8422
PDS 2020,Province,Balochistan,NA,NA,Demographics,Average household size,persons,mean,1974248,NA,6.63,3501
PDS 2020,Province,Islamabad ICT,NA,NA,Demographics,Average household size,persons,mean,354442,NA,5.31,342
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Average household size,persons,mean,5552198,NA,6.65,6746
PDS 2020,Province,Punjab,NA,NA,Demographics,Average household size,persons,mean,20130409,NA,5.79,18683
PDS 2020,Province,Sindh,NA,NA,Demographics,Average household size,persons,mean,9101957,NA,5.72,8422
PDS 2020,Province,Balochistan,NA,NA,Demographics,Female population share,% of population,pct,13097587,6168882,47.1,23040
PDS 2020,Province,Islamabad ICT,NA,NA,Demographics,Female population share,% of population,pct,1880946,899588,47.83,1857
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Female population share,% of population,pct,36948897,18513658,50.11,44843
PDS 2020,Province,Punjab,NA,NA,Demographics,Female population share,% of population,pct,116555648,58080140,49.83,108346
PDS 2020,Province,Sindh,NA,NA,Demographics,Female population share,% of population,pct,52096358,25132413,48.24,47814
PDS 2020,Province,Balochistan,NA,NA,Demographics,Sex ratio (males per 100 females),males per 100 females,ratio,6168882,6928705,112.32,10954
PDS 2020,Province,Islamabad ICT,NA,NA,Demographics,Sex ratio (males per 100 females),males per 100 females,ratio,899588,981358,109.09,892
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Sex ratio (males per 100 females),males per 100 females,ratio,18513658,18435239,99.58,22378
PDS 2020,Province,Punjab,NA,NA,Demographics,Sex ratio (males per 100 females),males per 100 females,ratio,58080140,58475508,100.68,54094
PDS 2020,Province,Sindh,NA,NA,Demographics,Sex ratio (males per 100 females),males per 100 females,ratio,25132413,26963945,107.29,23095
PDS 2020,Province,Balochistan,NA,NA,Demographics,Population under 15 years,% of population,pct,13097587,5440752,41.54,23040
PDS 2020,Province,Islamabad ICT,NA,NA,Demographics,Population under 15 years,% of population,pct,1880946,605367,32.18,1857
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Population under 15 years,% of population,pct,36948897,15112579,40.9,44843
PDS 2020,Province,Punjab,NA,NA,Demographics,Population under 15 years,% of population,pct,116555648,42641885,36.59,108346
PDS 2020,Province,Sindh,NA,NA,Demographics,Population under 15 years,% of population,pct,52096358,19915516,38.23,47814
PDS 2020,Province,Balochistan,NA,NA,Demographics,Population 65 years and above,% of population,pct,13097587,336893,2.57,23040
PDS 2020,Province,Islamabad ICT,NA,NA,Demographics,Population 65 years and above,% of population,pct,1880946,110724,5.89,1857
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Population 65 years and above,% of population,pct,36948897,1451805,3.93,44843
PDS 2020,Province,Punjab,NA,NA,Demographics,Population 65 years and above,% of population,pct,116555648,5402842,4.64,108346
PDS 2020,Province,Sindh,NA,NA,Demographics,Population 65 years and above,% of population,pct,52096358,2029970,3.9,47814
PDS 2020,Province,Balochistan,NA,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,7319942,5777645,78.93,12870
PDS 2020,Province,Islamabad ICT,NA,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,1164856,716090,61.47,1150
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,20384512,16564385,81.26,24905
PDS 2020,Province,Punjab,NA,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,68510922,48044727,70.13,63507
PDS 2020,Province,Sindh,NA,NA,Demographics,Age dependency ratio,dependents per 100 aged 15-64,ratio,30150872,21945486,72.79,27833
PDS 2020,Province,Balochistan,NA,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,9420648,3099705,32.9,16609
PDS 2020,Province,Islamabad ICT,NA,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,1459031,1208564,82.83,1446
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,26869713,13871926,51.63,32729
PDS 2020,Province,Punjab,NA,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,87481253,57327191,65.53,81194
PDS 2020,Province,Sindh,NA,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,38570738,19634225,50.9,35556
PDS 2020,Province,Balochistan,NA,NA,Education,Ever attended school (10+),% of population 10+,pct,9420648,3280914,34.83,16609
PDS 2020,Province,Islamabad ICT,NA,NA,Education,Ever attended school (10+),% of population 10+,pct,1459031,1270168,87.06,1446
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Education,Ever attended school (10+),% of population 10+,pct,26869713,15412201,57.36,32729
PDS 2020,Province,Punjab,NA,NA,Education,Ever attended school (10+),% of population 10+,pct,87481253,60532341,69.19,81194
PDS 2020,Province,Sindh,NA,NA,Education,Ever attended school (10+),% of population 10+,pct,38570738,21215064,55,35556
PDS 2020,Province,Balochistan,NA,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,2858243,1879421,65.75,5061
PDS 2020,Province,Islamabad ICT,NA,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,447073,312449,69.89,440
PDS 2020,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,8792170,5935216,67.51,10670
PDS 2020,Province,Punjab,NA,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,28760404,19096310,66.4,26721
PDS 2020,Province,Sindh,NA,NA,Demographics,Ever-married women among women 15-49,% of women 15-49,pct,12177992,8302434,68.18,11227
PDS 2020,Division,Balochistan,Kalat,NA,Demographics,Population (extrapolated),persons,pct,2422705,2422705,100,5797
PDS 2020,Division,Balochistan,Mekran,NA,Demographics,Population (extrapolated),persons,pct,1347056,1347056,100,2123
PDS 2020,Division,Balochistan,Nasirabad,NA,Demographics,Population (extrapolated),persons,pct,1633692,1633692,100,3163
PDS 2020,Division,Balochistan,Quetta,NA,Demographics,Population (extrapolated),persons,pct,4307275,4307275,100,5241
PDS 2020,Division,Balochistan,Rakhshan,NA,Demographics,Population (extrapolated),persons,pct,372180,372180,100,741
PDS 2020,Division,Balochistan,Sibi,NA,Demographics,Population (extrapolated),persons,pct,1351618,1351618,100,2474
PDS 2020,Division,Balochistan,Zhob,NA,Demographics,Population (extrapolated),persons,pct,1663060,1663060,100,3501
PDS 2020,Division,Islamabad ICT,Islamabad,NA,Demographics,Population (extrapolated),persons,pct,1880946,1880946,100,1857
PDS 2020,Division,Khyber Pakhtunkhwa,Bannu,NA,Demographics,Population (extrapolated),persons,pct,2477810,2477810,100,3546
PDS 2020,Division,Khyber Pakhtunkhwa,Dera Ismail Khan,NA,Demographics,Population (extrapolated),persons,pct,1818579,1818579,100,2513
PDS 2020,Division,Khyber Pakhtunkhwa,Hazara,NA,Demographics,Population (extrapolated),persons,pct,5169345,5169345,100,7947
PDS 2020,Division,Khyber Pakhtunkhwa,Kohat,NA,Demographics,Population (extrapolated),persons,pct,3186537,3186537,100,3994
PDS 2020,Division,Khyber Pakhtunkhwa,Malakand,NA,Demographics,Population (extrapolated),persons,pct,9022755,9022755,100,10343
PDS 2020,Division,Khyber Pakhtunkhwa,Mardan,NA,Demographics,Population (extrapolated),persons,pct,4664988,4664988,100,4507
PDS 2020,Division,Khyber Pakhtunkhwa,Peshawar,NA,Demographics,Population (extrapolated),persons,pct,10608883,10608883,100,11993
PDS 2020,Division,Punjab,Bahawalpur,NA,Demographics,Population (extrapolated),persons,pct,13303774,13303774,100,12007
PDS 2020,Division,Punjab,Dera Ghazi Khan,NA,Demographics,Population (extrapolated),persons,pct,11501286,11501286,100,10811
PDS 2020,Division,Punjab,Faisalabad,NA,Demographics,Population (extrapolated),persons,pct,15537341,15537341,100,13675
PDS 2020,Division,Punjab,Gujranwala,NA,Demographics,Population (extrapolated),persons,pct,17084659,17084659,100,16841
PDS 2020,Division,Punjab,Lahore,NA,Demographics,Population (extrapolated),persons,pct,19080415,19080415,100,17039
PDS 2020,Division,Punjab,Multan,NA,Demographics,Population (extrapolated),persons,pct,13174874,13174874,100,11627
PDS 2020,Division,Punjab,Rawalpindi,NA,Demographics,Population (extrapolated),persons,pct,10126748,10126748,100,10124
PDS 2020,Division,Punjab,Sahiwal,NA,Demographics,Population (extrapolated),persons,pct,7827642,7827642,100,7691
PDS 2020,Division,Punjab,Sargodha,NA,Demographics,Population (extrapolated),persons,pct,8918910,8918910,100,8531
PDS 2020,Division,Sindh,Hyderabad,NA,Demographics,Population (extrapolated),persons,pct,10248045,10248045,100,11080
PDS 2020,Division,Sindh,Karachi,NA,Demographics,Population (extrapolated),persons,pct,15272788,15272788,100,15262
PDS 2020,Division,Sindh,Larkana,NA,Demographics,Population (extrapolated),persons,pct,8844767,8844767,100,7509
PDS 2020,Division,Sindh,Mirpur Khas,NA,Demographics,Population (extrapolated),persons,pct,4365963,4365963,100,3407
PDS 2020,Division,Sindh,Shaheed Benazirabad,NA,Demographics,Population (extrapolated),persons,pct,4939536,4939536,100,4540
PDS 2020,Division,Sindh,Sukkur,NA,Demographics,Population (extrapolated),persons,pct,8425259,8425259,100,6016
PDS 2020,Division,Balochistan,Kalat,NA,Demographics,Households (extrapolated),households,pct,426294,426294,100,1011
PDS 2020,Division,Balochistan,Mekran,NA,Demographics,Households (extrapolated),households,pct,247248,247248,100,383
PDS 2020,Division,Balochistan,Nasirabad,NA,Demographics,Households (extrapolated),households,pct,249274,249274,100,475
PDS 2020,Division,Balochistan,Quetta,NA,Demographics,Households (extrapolated),households,pct,588956,588956,100,728
PDS 2020,Division,Balochistan,Rakhshan,NA,Demographics,Households (extrapolated),households,pct,59705,59705,100,113
PDS 2020,Division,Balochistan,Sibi,NA,Demographics,Households (extrapolated),households,pct,197867,197867,100,364
PDS 2020,Division,Balochistan,Zhob,NA,Demographics,Households (extrapolated),households,pct,204903,204903,100,427
PDS 2020,Division,Islamabad ICT,Islamabad,NA,Demographics,Households (extrapolated),households,pct,354442,354442,100,342
PDS 2020,Division,Khyber Pakhtunkhwa,Bannu,NA,Demographics,Households (extrapolated),households,pct,332607,332607,100,475
PDS 2020,Division,Khyber Pakhtunkhwa,Dera Ismail Khan,NA,Demographics,Households (extrapolated),households,pct,341222,341222,100,478
PDS 2020,Division,Khyber Pakhtunkhwa,Hazara,NA,Demographics,Households (extrapolated),households,pct,889154,889154,100,1335
PDS 2020,Division,Khyber Pakhtunkhwa,Kohat,NA,Demographics,Households (extrapolated),households,pct,442407,442407,100,564
PDS 2020,Division,Khyber Pakhtunkhwa,Malakand,NA,Demographics,Households (extrapolated),households,pct,1282334,1282334,100,1482
PDS 2020,Division,Khyber Pakhtunkhwa,Mardan,NA,Demographics,Households (extrapolated),households,pct,722043,722043,100,688
PDS 2020,Division,Khyber Pakhtunkhwa,Peshawar,NA,Demographics,Households (extrapolated),households,pct,1542432,1542432,100,1724
PDS 2020,Division,Punjab,Bahawalpur,NA,Demographics,Households (extrapolated),households,pct,2250589,2250589,100,2014
PDS 2020,Division,Punjab,Dera Ghazi Khan,NA,Demographics,Households (extrapolated),households,pct,1980861,1980861,100,1849
PDS 2020,Division,Punjab,Faisalabad,NA,Demographics,Households (extrapolated),households,pct,2695921,2695921,100,2364
PDS 2020,Division,Punjab,Gujranwala,NA,Demographics,Households (extrapolated),households,pct,2828174,2828174,100,2789
PDS 2020,Division,Punjab,Lahore,NA,Demographics,Households (extrapolated),households,pct,3229542,3229542,100,2882
PDS 2020,Division,Punjab,Multan,NA,Demographics,Households (extrapolated),households,pct,2293397,2293397,100,2022
PDS 2020,Division,Punjab,Rawalpindi,NA,Demographics,Households (extrapolated),households,pct,1886402,1886402,100,1902
PDS 2020,Division,Punjab,Sahiwal,NA,Demographics,Households (extrapolated),households,pct,1355677,1355677,100,1332
PDS 2020,Division,Punjab,Sargodha,NA,Demographics,Households (extrapolated),households,pct,1609846,1609846,100,1529
PDS 2020,Division,Sindh,Hyderabad,NA,Demographics,Households (extrapolated),households,pct,1853066,1853066,100,2024
PDS 2020,Division,Sindh,Karachi,NA,Demographics,Households (extrapolated),households,pct,2860488,2860488,100,2849
PDS 2020,Division,Sindh,Larkana,NA,Demographics,Households (extrapolated),households,pct,1363555,1363555,100,1166
PDS 2020,Division,Sindh,Mirpur Khas,NA,Demographics,Households (extrapolated),households,pct,842047,842047,100,653
PDS 2020,Division,Sindh,Shaheed Benazirabad,NA,Demographics,Households (extrapolated),households,pct,858085,858085,100,795
PDS 2020,Division,Sindh,Sukkur,NA,Demographics,Households (extrapolated),households,pct,1324716,1324716,100,935
PDS 2020,Division,Balochistan,Kalat,NA,Demographics,Average household size,persons,mean,426294,NA,5.68,1011
PDS 2020,Division,Balochistan,Mekran,NA,Demographics,Average household size,persons,mean,247248,NA,5.45,383
PDS 2020,Division,Balochistan,Nasirabad,NA,Demographics,Average household size,persons,mean,249274,NA,6.55,475
PDS 2020,Division,Balochistan,Quetta,NA,Demographics,Average household size,persons,mean,588956,NA,7.31,728
PDS 2020,Division,Balochistan,Rakhshan,NA,Demographics,Average household size,persons,mean,59705,NA,6.23,113
PDS 2020,Division,Balochistan,Sibi,NA,Demographics,Average household size,persons,mean,197867,NA,6.83,364
