survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs,representative
PSLM 2019-20,National,Pakistan (survey domain),NA,NA,Demographics,Population (extrapolated),persons,pct,189414400,189414400,100,876355,Representative
PSLM 2019-20,National,Pakistan (survey domain),NA,NA,Demographics,Female population share,% of population,pct,189414400,91954572,48.55,876355,Representative
PSLM 2019-20,National,Pakistan (survey domain),NA,NA,Demographics,Population under 15 years,% of population,pct,189414400,72706271,38.38,876355,Representative
PSLM 2019-20,National,Pakistan (survey domain),NA,NA,Demographics,Population 65 years and above,% of population,pct,189414400,6232770,3.29,876355,Representative
PSLM 2019-20,National,Pakistan (survey domain),NA,NA,Demographics,Households (extrapolated),households,pct,35424082,35424082,100,160444,Representative
PSLM 2019-20,Province,Balochistan,NA,NA,Demographics,Population (extrapolated),persons,pct,10703297,10703297,100,85291,Representative
PSLM 2019-20,Province,Islamabad ICT,NA,NA,Demographics,Population (extrapolated),persons,pct,1621777,1621777,100,6634,Representative
PSLM 2019-20,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Population (extrapolated),persons,pct,33032192,33032192,100,186023,Representative
PSLM 2019-20,Province,Punjab,NA,NA,Demographics,Population (extrapolated),persons,pct,99971029,99971029,100,420662,Representative
PSLM 2019-20,Province,Sindh,NA,NA,Demographics,Population (extrapolated),persons,pct,44086106,44086106,100,177745,Representative
PSLM 2019-20,Province,Balochistan,NA,NA,Demographics,Female population share,% of population,pct,10703297,4821649,45.05,85291,Representative
PSLM 2019-20,Province,Islamabad ICT,NA,NA,Demographics,Female population share,% of population,pct,1621777,767781,47.34,6634,Representative
PSLM 2019-20,Province,Khyber Pakhtunkhwa,NA,NA,Demographics,Female population share,% of population,pct,33032192,16280150,49.29,186023,Representative
PSLM 2019-20,Province,Punjab,NA,NA,Demographics,Female population share,% of population,pct,99971029,49406207,49.42,420662,Representative
PSLM 2019-20,Province,Sindh,NA,NA,Demographics,Female population share,% of population,pct,44086106,20678785,46.91,177745,Representative
